ASIN,Title,Item_weight,Item_model_number,Best_seller_rank,First_date_available,Manufacturer
B087T9B6X5,"Canon EOS Rebel T100 DSLR Camera with 18-55mm f/3.5-5.6 Zoom Lens + 32GB Card, Tripod, Case, and More (18pc Bundle)",1.05,Canon EOS Rebel T100,5336,2020-04-28,Al's Variety-Canon Intl
B08DQ4QQ6R,Canon EOS 4000D / Rebel T100 Digital SLR Camera Body w/Canon EF-S 18-55mm f/3.5-5.6 Lens 3 Lens DSLR Kit Bundled with Complete Accessory Bundle + 64GB + Flash + Case & More - International Model,7.02,4000D,8273,2020-07-27,Canon Cameras Inc.
B07Y5K1215,EOS 4000D Digital Camera with EF-S 18-55MM F/3.5-5.6 III Lens + Basic Accessories Bundle (International Version),3.85,CN4000D-1855IIIDBB64GB,65740,2019-02-22,Deal-Expo
B087SJ9S4W,"Canon EOS Rebel T7 DSLR Camera with 18-55mm f/3.5-5.6 Zoom Lens + 32GB Card, Tripod, Case, and More (18pc Bundle)",1.05,Canon EOS Rebel T7,11370,2020-04-28,ALS VARIETY-Canon Intl
B07WFQYDD5,"Canon DSLR Camera [EOS 90D] with Built-in Wi-Fi, Bluetooth, DIGIC 8 Image Processor, 4K Video, Dual Pixel CMOS AF, and 3.0 Inch Vari-Angle Touch LCD Screen, [Body Only], Black",1.32,3616C002,6672,2019-08-28,Canon USA
B071K62DZT,"Canon EOS 6D Mark II DSLR Camera with EF 24-105mm USM Lens, WiFi Enabled",1.69,1897C009,35094,2017-06-29,Canon
B088P1824H,"Comica BoomX-D2 2.4GHZ Dual Wireless Lavalier Microphone, Wireless Lapel Mic with 2 Transmitter, 1 Receiver for Canon Nikon Sony DSLR Cameras, Camcorders, Lav Mic for iPhone Android Smartphone etc.",2.3680000000000003,VF-BoomX-D2,6720,2020-05-15,Viewflex
B087TKG91L,"Canon EOS 4000D DSLR Camera with 18-55mm f/3.5-5.6 Zoom Lens + 32GB Card, Tripod, Case, and More (18pc Bundle)",1.05,Canon EOS 4000D,105327,2020-04-28,Al's Variety-Canon Intl
B01GHVITB2,Pentax K-70 Weather-Sealed DSLR Camera with 18-135mm Lens (Silver),2.0,16994,100928,2016-06-02,Pentax
B07WHV3HXL,"Canon DSLR Camera [EOS 90D] with 18-135 is USM Lens | Built-in Wi-Fi, Bluetooth, DIGIC 8 Image Processor, 4K Video, Dual Pixel CMOS AF, and 3.0 Inch Vari-Angle Touch LCD Screen, Black",1.32,3616C017,18901,2019-08-28,Canon USA
B079QYMWZX,"PANASONIC LUMIX ZS200 4K Digital Camera, DC-ZS200K, 20.1 Megapixel 1-Inch Sensor, 15X LEICA DC VARIO-ELMAR Lens, F3.3-6.4 Aperture, HYBRID O.I.S. Stabilization, 3-Inch LCD , DC-ZS200K (Black)",1.0,DC-ZS200K,37054,2018-02-13,Panasonic
B01KURGS9Y,Canon EOS 5D Mark IV Full Frame Digital SLR Camera with EF 24-105mm f/4L IS II USM Lens Kit,1.76,1483C010,56267,2016-08-25,Canon
B07RZ3M652,Canon EOS 2000D (Rebel T7) Digital SLR Camera with 18-55mm Lens Kit (Black) - Basic Accessories Bundle,4.2,CN2000D-1855ISIIBASIC,31314,2019-05-16,Buzz-Photo
B011PKJI2Y,"Panasonic LUMIX FZ300 Long Zoom Digital Camera Features 12.1 Megapixel, 1/2.3-Inch Sensor, 4K Video, WiFi, Splash & Dustproof Camera Body, LEICA DC 24X F2.8 Zoom Lens - DMC-FZ300K - (Black) USA",1.52,DMC-FZ300K,3658,2015-07-15,Panasonic
B085KVZGB1,FEELWORLD LUT7S 7 Inch 2200nit Ultra Bright SDI Touch Screen DSLR Camera Field Monitor with 3D Lut Waveform Vectorscope Automatic Light Sensor HD 1920x1200 3G SDI 4K HDMI Input 8.4V DC Output Tilt Arm,2.15,FW279S-US,78,2018-09-09,FEELWORLD
B08J74TNXW,"DJI RSC 2 – 3-Axis Gimbal Stabilizer for DSLR and Mirrorless Camera, Nikon Sony Panasonic Canon Fujifilm, 3kg Payload, Vertical Shooting, OLED Screen, Black",8.25,CP.RN.00000121.01,10,2020-10-11,DJI
B0868VLMWK,"Canon EOS 4000D DSLR Camera with EF-S 18-55mm f/3.5-5.6 III Lens Advanced Bundle - Includes: Extended Life LPE10 Replacement Battery, 50"" Gripster Tripod & More",3.0,2628C003,34229,2020-03-23,SSE
B01CQJHJ2E,"Canon Digital SLR Camera Kit [EOS Rebel T6] with EF-S 18-55mm and EF 75-300mm Zoom Lenses - Black, full-size",2.48,1159C008,39066,2016-03-10,Canon
B0013A1XDY,Nikon AF-S FX Micro-NIKKOR 2177 60mm f/2.8G ED Standard Macro Lens for Nikon DSLR Cameras,2.4,2177,4,2001-10-02,Nikon
B00I1CPA0O,Nikon D5300 24.2 MP CMOS Digital SLR Camera with 18-55mm f/3.5-5.6G ED VR Auto Focus-S DX NIKKOR Zoom Lens (Black),1.06,1522,45107,2013-11-18,Nikon
B01KITZRBE,Nikon D3400 DSLR Camera with AF-P DX NIKKOR 18-55mm f/3.5-5.6G VR and AF-P DX NIKKOR 70-300mm f/4.5-6.3G ED,2.512,1573,72280,2016-08-17,Nikon
B074JBZKNL,"Arkscan MCM5 Tabletop Photography Videography Live Stream Zoom Meeting Classroom Table clamp Mount with ¼-20 mounting Bolt for iPhone Android Smartphone, and Nikon Sony Canon Camera & Camcorder",1.7,MCM5,62,2017-12-15,Arkscan
B01I9L0CJ0,"Neewer Film Movie Video Making System Kit for Canon Nikon Sony and Other DSLR Cameras Video Camcorders, includes: C-shaped Bracket,Handle Grip,15mm Rod,Matte Box,Follow Focus,Shoulder Rig (Blue+Black)",2.6,10086749,93,2016-07-11,Neewer
B07GW23M7T,"Nikon D3500 DX-Format DSLR Two Lens Kit with AF-P DX NIKKOR 18-55mm f/3.5-5.6G VR & AF-P DX NIKKOR 70-300mm f/4.5-6.3G ED, Black",2.208,1588,122,2018-08-30,Nikon
B0007QKN22,Canon Digital Rebel XT DSLR Camera with EF-S 18-55mm f3.5-5.6 Lens (Black) (OLD MODEL),1.06,0209B003,38921,2005-02-17,Canon
B07FSJXHY9,"ESDDI Camera Tripod, DSLR Tripod with 360 Degree Ball Head, 64 inch Aluminum Tripod with Monopod 1/4 inch Quick Release Plate and Phone Holder for Vlog Travel and Work",4.04,TP40,35,2018-03-29,ESDDI
B07BS19VZK,EOS 800D Digital SLR Camera with 18-55 is STM Lens Black - Deal-Expo Essential Accessories Bundle,3.0,CN800D/T7IDBB,94286,2018-03-28,Deal-Expo
B07FXXVC74,"Canon PowerShot SX740 Digital Camera w/40x Optical Zoom & 3 Inch Tilt LCD - 4K VIdeo, Wi-Fi, NFC, Bluetooth Enabled (Black)",1.5519999999999998,2955C001,6432,2018-07-31,Canon
B07Z3462TW,"Endurax 67"" Video Camera Tripod for Canon Nikon Lightweight Aluminum Travel DSLR Camera Stand with Universal Phone Mount and Carry Bag",3.3,ETR66,7,2019-10-14,Endurax
B07517VVGD,Endurax Extra Large Camera DSLR/SLR Backpack for Outdoor Hiking Trekking with 15.6 Laptop Compartment,6.89,001,7,2017-08-22,Endurax
B019UDI5PO,Canon PowerShot SX420 Digital Camera w/ 42x Optical Zoom - Wi-Fi & NFC Enabled (Black),1.84,1068C001,5321,2016-01-05,Canon
B0060MVJ1Q,Nikon D750 FX-format Digital SLR Camera Body,1.65,1543,23288,2014-09-11,Nikon
B07ZV4QX6C,"Torjim 60” Camera Tripod with Carry Bag, Lightweight Travel Aluminum Professional Tripod Stand (5kg/11lb Load) with Bluetooth Remote for DSLR SLR Cameras Compatible with Phone-Black",3.49,,4,2019-10-31,Torjim
B07SKBMG96,EOS 2000D (Rebel T7) Digital SLR Camera with 18-55mm is II Lens Kit (Black) - Advanced Accessories Bundle,4.88,CN2000D-1855ISIIADV,186605,2019-05-16,Buzz-Photo
B08CZC7CB9,FEELWORLD F5 Pro 5.5 Inch Touch Screen DSLR Camera Field Monitor with External Kit Install The Equipment IPS FHD1920x1080 4K HDMI Input Output 5 V Type-c Input Lightweight DesignTilt Arm Sun Shade,1.47,F5-US,105,2018-09-09,FEELWORLD
B07F2LCBSP,"YoTilon Camera Tripod for DSLR, Portable Lightweight Travel Tripod for Camera, 360 Degree SLR Ball Tripods with 1/4 Plate for Canon Nikon Sony, Best Choice for Travel and Work.",2.07,camera projector tripod,33,2018-01-07,YoTilon
B08C9XH114,KINGJUE 67 inch Camera Tripod for Canon Nikon Lightweight Aluminum Travel DSLR Camera Stand with Carry Bag Universal Phone Mount and Wireless Remote Max Load 5kg,3.91,VT-860,453,2020-06-19,KINGJUE
B083YV6FC6,"[Official] Super-Cardioid-Condenser-Microphone, SYNCO-D30-On-Camera Mic with Overdrive Protection, Gain Control for DSLR/SLR, Camcorders, Smartphones for Filmmaking, TV or Studio Recording",1.32,,120,2020-01-16,SYNCO
B07ZCWMRZT,"TOAZOE 11"" Adjustable Robust Articulating Friction Magic Arm Clamp Holder Mounts Kit for DSLR/Mirrorless/Action Camera/Camcorder/LCD Monitor Video Vlog Rig w/Smartphone/iPhone/GoPro/Arlo etc",2.432,,43,2019-10-21,TOAZOE
B0026FCKC8,Nikon AF-S DX NIKKOR 10-24mm f/3.5-4.5G ED Zoom Lens with Auto Focus for Nikon DSLR Cameras,1.01,2181,650,2009-04-13,Nikon
B06Y185XZW,"Kodak PIXPRO Astro Zoom AZ652-BK 20MP Digital Camera with 65X Optical Zoom and 3"" LCD (Black)",1.33,AZ652-BK,61703,2017-12-29,JK Imaging Ltd
B089RDDJBB,FEELWORLD P7S 7 Inch Utra Bright 2200nit Camera DSLR Field Monitor 3G SDI 4K HDMI Aluminum Housing,1.9680000000000002,,198,2020-06-06,FEELWORLD
B08BJ2DH59,"Neewer 79 Inches Carbon Fiber Camera Tripod Monopod with 2 Center Axis, 360 Degree Ball Head, 1/4 inch Quick Shoe Plate and Bag for DSLR Camera Video Camcorder Travel and Work，Load up to 26.5 pounds",3.88,10097057,199,2020-06-19,NEEWER
B07CKPMN18,FEELWORLD FW450 4.5 Inch DSLR On Camera Field Monitor 4K HDMI Input Output Small HD Focus 1280x800 Ultra Lightweight Video Assist,0.672,FW450-FBA,63,2018-04-10,FEELWORLD
B00CHT6CRC,Amazon Basics Holster Camera Case for DSLR Cameras - Grey,1.248,SM1303004R1,24,2013-08-01,Amazon Basics
B087J9PLNF,"MOZA AirCross 2 Stabilizer Alpine White, 3-Axis Handheld Gimbal Stabilizer, Up to 7.1 lbs 8 Follow Modes Dual Follow Focus System for DSLR Mirrorless Cameras with Larger Heavier Lens",3.31,AirCross2 Alpine White,1033,2020-04-24,Gudsen
B08JPC5QFD,FeiyuTech AK2000C Gimbal Camera Handheld Stabilizer with OLED Touch Screen Compatible for DSLR Camera Sony A9/A7series a6300 Canon M50 EOS R Panasonic Nikon Fujifilm Max Payload Updates to 2.2 kg,2.42,,963,2020-09-22,FeiyuTech
B08GBT4WQJ,"Phone Tripod,VOSSCOSS 42 Inch Aluminum 360 Lightweight Travelling Tripod Portable Camera Tripod for iPhone, Smartphone, DSLR Camera Stand with Phone Mount & Bluetooth Wireless Remote Control - Silver",1.1,,142,2020-08-20,vosscoss
B01IB8T42C,DSLR /Mirrorless / Action Camera Camcorder Phone Stabilizer 3-Shoe 2-handed Vlog Video Holder Rig Low Position Shooting Steadycam Mount Detachable Grip Fit for GoPro Sony Canon Nikon DV iPhone Samsung,2.4,M-LPCB,11,2016-08-16,Fantaseal
