name,ASIN,Brand,Best_Sellers_Rank,Best_Sellers_Ranking_Fields,Product_Dimensions_inches,Item_Weight_pounds,Date_First_Available,Is_Discontinued_By_Manufacturer,Item_model_number,Batteries,Voltage,Series,National_Stock_Number,Chipset_Brand,Batteries_Required,Wireless_Type,Standing_screen_display_size,Max_Screen_Resolution,Part_Number,Item_Package_Quantity,Color,Number_of_USB_2point0_Ports,Number_of_USB_3point0_Ports,Computer_Memory_Type,Average_Battery_Life_in_hours,Processor_Count
"ZAGG Rugged Book Go - Durable Case and Bluetooth Keyboard for Apple iPad Pro 11"" (Gen 1 and Gen 2) - Black",B08GYJPHYM,ZAGG,201,Tablet,11.5 x 9 x 1.5 ,1.05,2020-08-28,,103104614,1 Lithium ion batteries required. (included),,,,,,,,,,,Black,,,,,
"3 Pack Transparent Russian Keyboard Stickers Replacement , Transparent Background with Organge Lettering Keyboard Stickers for Laptop PC Desktop Keyboards(Don't Suggest Use for Black Keyboard)",B087D1XVTT,,864,Computer,9.6 x 5.2 x 0.2 ,0.12960000000000002,2020-04-21,,,,,,,,,,,,,,,,,,,
iPad Bluetooth Keyboard Case for 10.2/10.5-2019(7th Gen) / 2020(8th Gen) / iPad Air3 / iPad Pro – LED Backlit - 360 Rotatable - Bluetooth Wireless Keyboard (Black) (Black),B08PBVRH2K,,526,Tablet,10.2 x 7.5 x 0.8,2.03,2020-11-30,No,NB010(N),1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,
"iKBC CD87 v2 Mechanical Keyboard with Cherry MX Brown Switch for Windows and Mac, Tenkeyless Ergonomic Keyboard with PBT Double Shot Keycaps for Desktop and Laptop, 87-Key, Black, ANSI/US",B08B84VPN9,,562,Computer,15 x 8 x 2.1,3.01,2020-06-15,,,,,,,,,,,,,,,,,,,
"GEZICHTA Foldable Bluetooth Keyboard, Roll Up Wireless Portable Keyboard Compatible with iOS, Android and Windows System, 64 Keys Mini Bluetooth Keyboard for All iPad Tablet Smart Phone Laptop",B07X8HYHHV,,890,Computer,12.6 x 3.94 x 3.15,0.056319999999999995,,,,,,,,,,,,,,,,,,,,
"Keyboard Cover Skin for HP 11.6/14 inch Chromebook x360, HP Chromebook 11,14 G2/G3/G4/G5/G6 EE/G7 EE/11A-NB0013DX,Chromebook 14-db/ca/ak/DA 14B-CA 14a-na Series,Keyboard Accessories, Blue+Clear",B08NC4NB37,,452,Computer,12.83 x 5.24 x 0.28 ,0.2816,2020-11-12,,,,,,,,,,,,,,,,,,,
"for MSI Laptop Keyboard Cover for 15.6 inch MSI GL62M GF62 GP62 GT62VR GE63VR GP63 GS63VR WS60 WS63VR, 17.3 inch MSI GS75 GE75 GF75 GL72 GP72MX GS73 GE73VR GS73VR GT73 GT73VR GV72 GT72 GT72S Laptop",B0153KKPYW,,555,Computer,13.6 x 5.3 x 0.3,0.1808,2015-09-08,No,ESPL218-TR-BLACK,,,,,,,,,,,,,,,,,
"Keyboard Cover Skin for 14"" Dell Insprion 14 5000 2-in-1 5481 5482, 13.3"" Dell Inspiron 13 5000 7000 Series i5368 i5378 7375 7368 i7368, 15.6"" Dell Inspiron 15 i5568 i5578 5579 7570 7573, Gradual Pink",B07MZLXQDG,,2345,Computer,14 x 6.8 x 0.2 ,0.1808,2019-01-21,No,,,,,,,,,,,,,,,,,,
"XSKN New Shortcut Design Keyboard Skin Cover for Touch Bar Models MacBook Pro 13"" (A1706 A1989) & MacBook Pro 15"" (A1707 A1990), US EU Universal Version (Ableton)",B01NBSWJRL,,458,Computer,8.54 x 0.04 x 3.58,0.0768,2017-01-09,No,,,,,,,,,,,,,,,,,,
"Keyboard Cover Design for 2020 Lenovo Chromebook Flex 5 2-in-1 13"" FHD Touch Laptop,Flex 5 Chromebook Cover,Lenovo Flex 5 Protective Skin -Rainbow",B08MLG9WQS,,658,Computer,13.7 x 6 x 0.1 ,0.1696,2020-11-03,,,,,,,,,,,,,,,,,,,
"Wireless Bluetooth Keyboard Compatible with iPad Pro 9.7/10.5/11/12.9,iPad Air,iPad Mini,iPhone,Samsung Tablet&Other Bluetooth Enabled Devices, Ultra Slim Aluminum Keyboard with 7 Color Backlight,Gold",B07NV6TTST,,126,Tablet,11.06 x 5.47 x 0.75 ,2.048,2019-02-17,,,,,,,,,,,,,,,,,,,
"Venturer 14"" Luna Max [VCT9T48Q34RBM] Quad-Core 3GB RAM 64GB Storage IPS 1920 x 1080 FHD Touchscreen WiFi Bluetooth with Detachable Keyboard Android 10 Tablet",B08PHL7NLF,Venturer,7480,Electronics,15.67 x 11.65 x 3.82 ,4.49,2020-12-02,,,1 Lithium ion batteries required. (included),,Touch,,,,,14 Inches,1920 x 1080,,,,,,,,
EPOMAKER AKKO 3084 84-Key Cherry MX Switch World Tour Tokyo Bluetooth Mechanical Keyboard with PBT Keycaps (Cherry MX Brown),B085F29TJS,,2248,Computer,14.29 x 6.93 x 2.2 ,2.51,2020-03-03,,,1 Lithium Metal batteries required. (included),,,,,,,,,,,,,,,,
"Rechargeable Keyboard and Mouse,Soke-Six 2.4G Wireless Mechanical Feel Backlit Gaming Keyboard Mice Combo Home Office Gamer Design Use for Laptop Pc Mac (Pink)",B083LDJNNG,,23085,Video,22.52 x 6.61 x 2.28 ,2.51,2020-01-08,,,2 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,
"ProCase iPad Pro 11 Keyboard Case 2018 [Old Model] [Support Apple Pencil Charging], 360 Degree Rotation Swivel Cover Case with Wireless Keyboard for Apple iPad Pro 11 Inch 2018 Release -Black",B07L9Q273Z,ProCase,1669,Tablet,9.7 x 7.02 x 0.23,1.6,2018-12-11,No,PC-08361485,,,,,,,,,,,,Black,,,,,
"Serato DJ Keyboard Cover for MacBook Pro 13"" (2020+) and 16"" (2019+)",B088JWPTFK,,2694,Computer,12.6 x 4.72 x 0.08,0.1808,2020-05-12,,SRDJ-MBE,,,,,,,,,,,,,,,,,
"Silicone Keyboard Cover Skin for 2017/2018 Apple iMac Wireless Magic Keyboard with Numeric Keypad MQ052LL/A(Model: A1843), Cute Print, US Layout ,Cute Cat",B08FGTBW7J,,2642,Computer,14.5 x 5.1 x 0.1 ,0.3824,2020-08-09,,,,,,,,,,,,,,,,,,,
