ASIN,title,rating,review_count,price,product_type
B08LZ4LVNG,"MOSISO Compatible with MacBook Air 13 inch Case (Models: A1369 & A1466, Older Version 2010-2017 Release), Protective Plastic Hard Shell Case & Keyboard Cover & Screen Protector, Honeydew Green",4.3,28165,17.99,Keyboard
B07GW9TJ3G,Cleaning Gel Universal Dust Cleaner for PC Keyboard Cleaning Car Detailing Laptop Dusting Home and Office Electronics Cleaning Kit Computer Dust Remover from ColorCoral 160G,4.2,22951,6.63,Keyboard
B07RF1XD36,"Acer Aspire 5 Slim Laptop, 15.6 inches Full HD IPS Display, AMD Ryzen 3 3200U, Vega 3 Graphics, 4GB DDR4, 128GB SSD, Backlit Keyboard, Windows 10 in S Mode, A515-43-R19L, Silver",4.6,22843,364.99,Keyboard
B07KL17JT4,Corsair MM350 - Premium Anti-Fray Extra Thick Cloth Gaming Mouse Pad - Designed for Maximum Control – X-Large,4.8,21006,28.99,Keyboard
B07Y5FV12N,"MOSISO MacBook Air 13 inch Case 2020 2019 2018 Release A2337 M1 A2179 A1932, Plastic Hard Shell&Keyboard Cover&Screen Protector&Storage Bag Compatible with MacBook Air 13 inch Retina, Crystal Black",4.3,20089,18.99,Keyboard
B0725X7NSJ,Logitech MK570 Wireless Wave Keyboard and Mouse Combo,4.6,19079,69.99,Keyboard
B0834MXPB5,"MOSISO Compatible with MacBook Pro 13 inch Case 2016-2020 Release A2338 M1 A2289 A2251 A2159 A1989 A1706 A1708, Plastic Hard Shell Case&Keyboard Cover Skin&Screen Protector&Storage Bag, Midnight Green",4.2,17164,18.49,Keyboard
B01M11FLUJ,"Gimars Upgrade Enlarge Gel Memory Foam Set Keyboard Wrist Rest Pad, Mouse Wrist Cushion Support for Office, Computer, Laptop, Mac, Comfortable, Lightweight for Easy Typing Pain Relief, Black",4.5,16633,14.76,Keyboard
B00004Z5RA,"Belkin F8E263-BLK WaveRest Gel Wrist Pad for Keyboards, Black",4.5,16550,11.24,Keyboard
B07NXR9R22,"Soundance Laptop Stand, Aluminum Computer Riser, Ergonomic Laptops Elevator for Desk, Metal Holder Compatible with 10 to 15.6 Inches Notebook Computer, Black",4.8,16385,35.99,Keyboard
B07V1SZCY6,"TP-Link USB Bluetooth Adapter for PC(UB400), 4.0 Bluetooth Dongle Receiver Support Windows 10/8.1/8/7/XP for Desktop, Laptop, Mouse, Keyboard, Printers, Headsets, Speakers, PS4/ Xbox Controllers",4.4,16116,9.99,Keyboard
