name,ASIN,Brand,Best_Sellers_Rank,Best_Sellers_Ranking_Fields,Product_Dimensions_inches,Item_Weight_pounds,Date_First_Available,Is_Discontinued_By_Manufacturer,Item_model_number,Batteries,Voltage,Series,National_Stock_Number,Chipset_Brand,Batteries_Required,Wireless_Type,Standing_screen_display_size,Max_Screen_Resolution,Part_Number,Item_Package_Quantity,Color,Number_of_USB_2point0_Ports,Number_of_USB_3point0_Ports,Computer_Memory_Type,Average_Battery_Life_in_hours,Processor_Count
"2.4G Wireless Ergonomic Vertical Mouse, DOOMIER Rechargeable Ergonomic Vertical Cordless Optical Mice with USB Receiver, 6 Buttons 3 DPI 1000/1200/1600 for Desktop, Laptop, Chromebook, Black",B08974HYGF,,515,Computer,4.6 x 2.7 x 3.9,0.5376,2019-11-12,,mmplverticalrechargemouse,1 Lithium Polymer batteries required.,,,,,,,,,,,,,,,,
"BZseed RGB Gaming Mouse Pad X Large, Black Extended LED Mouse Pad 30% Larger Size(31.5""×11.8""), Anti-Slip Base Computer Keyboard Mouse Mat for Gaming Computer/Laptops/Office Desk",B07Y85JBDV,BZseed,3852,Office,31.5 x 11.8 x 0.2,1.57,2019-10-17,,,,,,,,,,,,,,Black,,,,,
"HP USB 3 Button Optical Mouse (KY619AA#ABA),black",B0029L0IM8,,346,Computer,4.53 x 2.5 x 1.38,0.64,2009-05-11,No,KY619AA#ABA,,,,,,,,,,,,,,,,,
"ZLOT Vertical Gaming Mouse,Wired RGB Ergonomic USB Joystick Programmable Laser Gaming Mice,6+1 Design,11 Buttons,1000 Hz Max Polling Rate,10000 Max DPI,2019 Upgraded Version for Computer Gamers,Black",B07T3PFWCB,,1633,Video,4.33 x 2.83 x 3.01,1.1840000000000002,2019-06-14,No,G19C18,,,,,,,,,,,,,,,,,
Mouse Pads Black Background Red Color Paint Explosion Burst Red Black Rectangle 240x200x3mm at Colored Cases Store,B00X6XWBGY,Mouse Pads,9084,Office,11.5 x 1.1 x 5.8,0.1536,2015-05-06,Yes,HN-QK-369,,,,,,,,,,,,Black Red,,,,,
"MROCO Large Gaming Mouse Pad Pack with Stitched Edges, Non-Slip Rubber Base, Premium-Textured, Waterproof Mousepad Bulk Mouse Mat Mouse Pads for Gamer, Computer & PC, 12.6 x 10.8 x 0.12 inches, Black",B07DFKSNTP,,4023,Office,12.6 x 10.8 x 0.12,0.9440000000000001,2018-07-31,No,MROCO-BLACK-MOUSE-PAD-GAMING-L,,,,,,,,,,,,,,,,,
"Mouse Pad with Wrist Rest Support, Custom Original Memory Foam Wrist Rest Pad Non-Slip Ergonomic Desk Gaming Mouse Mat for Home & Office (Marble Pink Purple)",B085WN25NK,Nasdalgias,15949,Office,9.9 x 9 x 0.9,0.6368,2020-03-14,,,,,,,,,,,,,,Marble Pink Purple,,,,,
"2.4GHz Wireless Bluetooth Mouse, Jelly Comb Dual Mode Slim Wireless Mouse with 2400 DPI Compatible for PC, Laptop, Mac, Android, Windows (Black)",B07DMGKSN2,,189,Computer,4.6 x 2.6 x 1.6 ,0.2816,2018-07-06,No,8541666517,,,,,,,,,,,,,,,,,
Perixx PERIMICE-209 3 Button USB Wired Mouse - Optical - 1000 DPI - 5.9 Ft Cable - Black,B074W6Z6LW,Perixx,5594,Video,4.29 x 2.34 x 1.48,0.5632,2017-08-17,No,PERIMICE-209,,,,,,,,,,,,,,,,,
"Wired Keyboard and Mouse, Jelly Comb Ultra Thin Full Size USB Wire Corded Keyboard Mouse Combo Set with Number Pad for Computer, Laptop, PC, Desktop, Notebook, Windows 7, 8, 10 (Black)",B07PMKK5H4,,83,Computer,17.13 x 4.8 x 0.6,2.272,2019-03-04,,,,,,,,,,,,,,,,,,,
