,name,ASIN,Brand,Best Sellers Rank,Best_Sellers_Rank_fields,Product Dimensions (inches),Item Weight (pounds),Date First Available,Is Discontinued By Manufacturer,Item model number,Batteries,Card Description,Voltage,Series,National Stock Number,Chipset Brand,Batteries Required?,Wireless Type,Standing screen display size (Inches),Max Screen Resolution (Pixels),Part Number,Item Package Quantity,Color,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Memory Speed,Graphics Coprocessor,Computer Memory Type,Average Battery Life (in hours),Graphics Card Ram Size,Processor Count
0,"Sceptre 20"" 1600x900 75Hz Ultra Thin LED Monitor 2x HDMI VGA Built-in Speakers, Machine Black Wide Viewing Angle 170° (Horizontal) / 160° (Vertical)",B07743412C,Sceptre,63, Electronics ,18.35 x 7.17 x 13.58 ,4.43,2017-11-01,No,E205W-16003R,,,110 Volts (AC),,,,,,20 ,1600 x 900 ,,,Metallic Black,,,,,,,,
1,"Sceptre Curved 27"" 75Hz LED Monitor HDMI VGA Build-In Speakers, EDGE-LESS Metal Black 2019 (C275W-1920RN)",B07MTRQ6B3,Sceptre,138, Electronics ,24.27 x 9.01 x 17.69 ,8.6,2019-01-11,No,C275W-1920RN,,,120 Volts (AC),,,,,,27 ,1920 x 1080 ,,,Metal Black,,,,,,,,
2,BenQ 24 Inch IPS Monitor | 1080P | Proprietary Eye-Care Tech | Ultra-Slim Bezel | Adaptive Brightness for Image Quality | Speakers | GW2480 Black,B072XCZSSW,BenQ,493, Electronics ,16.54 x 6.9 x 21.26 ,8.4,2017-08-02,No,GW2480,,,240 Volts,GW2480,,,,,23.8 ,1920x1080 ,,,Black,,,,,,,,
3,"LG 24M47VQ 24-Inch LED-lit Monitor, Black",B00W95RR32,LG,145, Electronics ,21.9 x 7.8 x 17.2 ,6.2,2015-04-09,No,24M47VQ,,,240 Volts,,,,,,24 ,1920 x 1080 ,,,Black,,,,,,,,
4,"Acer R240HY bidx 23.8-Inch IPS HDMI DVI VGA (1920 x 1080) Widescreen Monitor, Black",B0148NNKTC,Acer,279, Electronics ,21.3 x 7.3 x 16 ,6.4,2015-09-06,No,R240HY bidx,,,,,,,,,23.8 ,1920 x 1080 ,,,Black,,,,,,,,
5,"LG 27GL83A-B 27 Inch Ultragear QHD IPS 1ms NVIDIA G-SYNC Compatible Gaming Monitor, Black",B07YGZL8XF,LG,193, Electronics ,10.8 x 24.2 x 22.6 ,18.46,2019-09-01,,27GL83A-B,,,110240 Volts,LG 27GL83A-B 27 Inch Ultragear QHD IPS 1ms NVIDIA G-SYNC Compatible Gaming,,,,,27 ,2560 x 1440 ,,,Black,,,,,,,,
6,"Philips 276E9QDSB 27"" frameless monitor, Full HD IPS, 124% sRGB, FreeSync 75Hz, VESA, 4Yr Advance Replacement Warranty",B07CLMDH3K,Philips Computer Monitors,1378, Electronics ,24.1 x 8.7 x 18.3 ,8.73,2018-05-14,No,276E9QDSB,,,,E9 Line,,,,,27 ,1920 x 1080 ,,,Black,,,,,,,,
7,"ASUS TUF Gaming VG27VH1B 27” Curved Monitor, 1080P Full HD, 165Hz (Supports 144Hz), Extreme Low Motion Blur, Adaptive-sync, FreeSync Premium, 1ms, Eye Care, HDMI D-Sub, BLACK",B088MKB54B,ASUS,351, Electronics ,24.03 x 18.71 x 8.42 ,11.79,2020-06-14,,VG27VH1B,,,100240 Volts,,,,,,27 ,1920 x 1080 ,,,BLACK,,,,,,,,
8,"MOUNTUP Single Monitor Desk Mount - Adjustable Gas Spring Monitor Arm, VESA Mount with C Clamp, Grommet Mounting Base, Computer Monitor Stand for Screen up to 32 inch, MU0004",B07Z7ZGHD5,MOUNTUP,123, Office Products ,15.87 x 11.77 x 5.31 ,4.18,,,MU0004,,,,,,,,,,,,,,,,,,,,,
9,ViewSonic VX3276-MHD 32 Inch 1080p Frameless Widescreen IPS Monitor with Screen Split Capability HDMI and DisplayPort,B0787WGCXT,ViewSonic,743, Electronics ,19.84 x 9.06 x 28.07 ,13.6,2018-07-01,No,VX3276-mhd,,,120 Volts,VX3276-mhd,,,,,32 ,1920 x 1080 ,,,Black/Silver,,,,,,,,1
10,"SAMSUNG 32-Inch Odyssey G5 Gaming Monitor with 1000R Curved Screen, 144Hz, 1ms, FreeSync Premium, QHD (LC32G55TQWNXZA), Black",B08FF3HDW5,SAMSUNG,680, Electronics ,5.35 x 27.96 x 17.3 ,15.38,2020-08-31,,LC32G55TQWNXZA,,,100240 Volts,LC32G55TQWNXZA,,,,,32 ,2560 x 1440 ,,,Black,,,,,,,,
11,"Dell SE2419HR - 24 Inch 1080p FHD, IPS Ultra-Thin Bezel Monitor with Anti-Glare, HDMI, Black (Latest Model)",B07ZHHHBM5,Dell,1175, Electronics ,6.02 x 21.24 x 16.28 ,12.3,2019-10-22,,SE2419HR,,,29,,,,,,23.8 ,1920x1080,,,Black,,,,,,,,
12,"ViewSonic VA2246MH-LED 22 Inch Full HD 1080p LED Monitor with HDMI and VGA Inputs for Home and Office, Black",B072F3DL6P,ViewSonic,1613, Electronics ,7.78 x 20.06 x 14.41 ,7.67,2017-04-30,No,VA2246MH-LED,,,240 Volts,Value VA,,,,,22 ,1920 x 1080 ,,,Black,,,,,,,,
13,"Dell E Series 23-Inch Screen LED-lit Monitor (Dell E2318Hx), Black",B06Y45V625,Dell,896, Electronics ,21.45 x 7.09 x 16.34 ,7.98,2017-05-09,No,Dell E2318Hx,,,,,,,,,23 ,1920 x 1080 ,,,Black,,,,,,,,
14,"LG 29WN600-W 29"" 21:9 UltraWide WFHD IPS HDR1 0 Monitor with FreeSync, Silver",B0876DBCBX,LG,1118, Electronics ,27.1 x 8.2 x 12.3 ,10.4,2020-04-16,,29WN600-W,,,,29WN600-W,,,,,29 ,2560 x 1080 ,,,Silver,,,,,,,,
15,"HP 24ea IPS Display- 23.8 inch, White",B01L73OEOG,HP,1375, Electronics ,7.23 x 21.25 x 16.1 ,6.77,2016-09-25,No,24ea,1 Lithium ion batteries required.,,,X6W26AA#ABA,,,,,23.8 ,1920 x 1080 ,,,White,,,,,,,,
16,SAMSUNG LC27F398FWNXZA SAMSUNG C27F398 27 Inch Curved LED Monitor,B01CX26WIG,SAMSUNG,1277, Electronics ,24.52 x 9.55 x 18.35 ,9.03,2016-04-24,No,LC27F398FHNXZA,,,100240 Volts,C27F398,,,,,27 ,1920 x 1080 ,,,Black High Glossy,,,,,,,,
17,"ASUS TUF Gaming VG32VQ1B 31.5” Curved Monitor, WQHD (2560 x 1440), 165Hz (Supports 144Hz), 1ms, FreeSync Premium/Adaptive-sync, Extreme Low Motion Blur, HDR10, HDMI DisplayPort, BLACK",B088MKF848,ASUS,1446, Electronics ,27.94 x 0.33 x 19.97 ,15.98,2020-07-17,,VG32VQ1B,,,100240 Volts,,,,,,31.5 ,2560 x 1440,,,BLACK,,,,,,,,
18,"LG 32MN60T-B 32"" Class FHD IPS FreeSync Monitor (Renewed)",B08HSN5K1Q,,10223, Electronics ,32 x 20.2 x 5.8 ,18.11,,,,,,,,,,,,,,,,,,,,,,,,
19,"ASUS VA24DQ 23.8” Monitor, 1080P Full HD, 75Hz, IPS, Adaptive-Sync/FreeSync, Eye Care, HDMI DisplayPort VGA, Frameless, VESA Wall Mountable, BLACK",B08C5MGFXQ,ASUS,2680, Electronics ,21.26 x 15.39 x 8.07 ,7.99,2020-06-27,,VA24DQ,,,100240 Volts,VA24DQ,,,,,24 ,4096 x 2160 ,,,BLACK,,,,,,,,
