,name,ASIN,Best Sellers Rank,Best_Sellers_Rank_fields,Manufacturer,Product Dimensions (inches),Item Weight (pounds),Date First Available,Is Discontinued By Manufacturer,Item model number,Batteries,Colour
0,"OUKITEL WP8 Pro (2020) Rugged Smartphone, 6.49” Display, 4GB 64GB Dual SIM IP68 Waterproof Unlocked Cell Phones, 16MP Triple Camera Android 10, 5000mAh Battery Face/Fingerprint ID, GPS NFC, Orange",B08HRJM99F,9229.0,Cell Phones & Accessories ,OUKITEL,7.01 x 3.33 x 0.51,1.23,2020-10-22,,WP8 Pro,1 Lithium Polymer batteries required. (included),Orange
1,"Samsung Galaxy S20 FE 5G | Factory Unlocked Android Cell Phone | 128 GB | US Version Smartphone | Pro-Grade Camera, 30X Space Zoom, Night Mode | Cloud Navy",B08FYTSXGQ,491.0,Cell Phones & Accessories ,Samsung,6.7 x 3.4 x 2.44,1.072,2020-09-23,,SM-G781UZBMXAA,1 Lithium ion batteries required. (included),Cloud Navy
2,"BLU G90 Pro – 6.5” HD+ Gaming Smartphone, Quad Camera, 128GB+4GB RAM – Purple Haze",B08C6XBCRT,1506.0,Cell Phones & Accessories ,BLU,15.99 x 8.99 x 1,0.00368,2020-07-01,,G0310WW,1 Lithium ion batteries required. (included),
3,"TCL 10L, Unlocked Android Smartphone with 6.53"" FHD + LCD Display, 48MP Quad Rear Camera System, 64GB+6GB RAM, 4000mAh Battery - Arctic White",B087LY84RT,4182.0,Cell Phones & Accessories ,TCL,6.38 x 2.98 x 0.33,1.92,2020-04-22,,TCL-T770B-2ALCUS11-2,1 Lithium ion batteries required. (included),Arctic White
4,"OUKITEL WP5 (2020) Rugged Smartphone, 8000mAh Battery IP68 Waterproof Android 10 Unlocked Cell Phones 4G LTE Dual SIM, 5.5inches 4GB 32GB Triple Camera Face/Fingerprint Unlock GPS Global Version",B0836TG4XB,12321.0,Cell Phones & Accessories ,OUKITEL,6.06 x 2.92 x 0.71,1.568,2019-12-27,,WP5,1 Lithium Polymer batteries required. (included),Black
5,"Xiaomi Redmi Note 9 Pro 128GB + 6GB RAM, 6.67"" FHD+ DotDisplay, 64MP AI Quad Camera, Qualcomm Snapdragon 720G LTE Factory Unlocked Smartphone - International Version (Interstellar Grey)",B0881TZRTZ,1850.0,Cell Phones & Accessories ,Xiaomi,2.99 x 0.31 x 6.52,1.136,2020-05-27,,27957,1 Lithium Metal batteries required. (included),
6,"Samsung Galaxy A10s A107M - 32GB, 6.2"" HD+ Infinity-V Display, 13MP+2MP Dual Rear +8MP Front Cameras, GSM Unlocked Smartphone - Blue",B07XQHM1CV,1686.0,Cell Phones & Accessories ,Samsung,6.5 x 3.5 x 2,0.768,2019-09-10,No,A107M,1 Lithium Polymer batteries required. (included),Blue
7,"Unlocked Smartphones Ulefone Note 9P, 16MP + 5MP + 2MP, Dual Sim Phones Unlocked, Andorid 10 4GB+64GB ROM, 6.52"" FHD, Fingerprint Face Detection, 4500mAh high Capacity Battery, AT&T, T-Mobile - Blue",B08BC4NGMR,3613.0,Cell Phones & Accessories ,Ulefone,6.54 x 3.02 x 0.36,1.056,2020-08-10,,Ulefone Note 9P,1 Lithium ion batteries required. (included),Blue
8,"ZTE Blade A3 2020 5.45"", 32 GB Quad-Core Android 9.0 Go 4G LTE GSM USA Latin Caribbean Unlocked Smartphone (GSM Version, Not CDMA) International Version (Red)",B08C268ZVZ,6961.0,Cell Phones & Accessories ,ZTE,6 x 4 x 2,1.7919999999999998,2020-06-29,,,1 Lithium Metal batteries required. (included),Red
9,"OnePlus 8 Pro Onyx Black,​ 5G Unlocked Android Smartphone U.S Version, 12GB RAM+256GB Storage, 120Hz Fluid Display,Quad Camera, Wireless Charge, with Alexa Built-in",B08723FJMF,16771.0,Cell Phones & Accessories ,OnePlus,6.51 x 2.93 x 0.31,1.1,2020-04-28,,IN2025,1 Lithium ion batteries required. (included),Onyx Black​
10,"LG V40 ThinQ 64GB GSM Unlocked (AT&T/T-Mobile) 5-Camera Smartphone w/ 6.4"" QHD+ Display - Aurora Black (Renewed)",B07RX8TP36,18161.0,Cell Phones & Accessories ,LG,15.99 x 8.99 x 1,0.00368,2019-05-17,Yes,LMV405UA,1 Lithium ion batteries required. (included),Aurora Black
11,"4G Unlocked, Unlocked Smartphone, 5.0"" Android 8.1 Cell Phones Unlocked 4g LTE, 1GB RAM+8GB ROM - (White)",B08KT4YPLB,175674.0,Cell Phones & Accessories ,AOYODKG,7.4 x 5.43 x 1.65,2.096,2020-10-07,,,,White
12,"RCA Reno, 16GB, Android 10, 4G LTE Unlocked Smartphone (Black)",B086G9NF1P,7591.0,Cell Phones & Accessories ,RCA,6.02 x 3.66 x 2.09,0.784,2020-03-27,,,1 Lithium ion batteries required. (included),Black
13,"LG K51 Android Smartphone – 3/32 GB (Renewed) (Platinum, Global Unlocked)",B08HMTQQH4,70116.0,Cell Phones & Accessories ,LG,6.9 x 3.7 x 2.3,1.92,2020-09-08,,,1 Lithium ion batteries required. (included),Platinum
14,"CUBOT X30 Unlocked Smartphone, 8GB/256GB,6.4 Inch FHD Display, 48MP Five Al Rear Camera, Android 10 Unlocked Cell Phones 4200mAh Battery, 4G Dual SIM, Gradiet+Green",B08FT6SN4G,28603.0,Cell Phones & Accessories ,CUBOT,6.18 x 3 x 0.33,1.088,2020-09-23,,,1 Lithium ion batteries required. (included),Gradiet+Green
15,DJI Osmo Mobile 3 Combo - 3-Axis Smartphone Gimbal Handheld Stabilizer Vlog Youtuber Live Video for iPhone Android,B07RSPPQ18,4.0,Professional Video Stabilizers,DJI,11.22 x 4.92 x 4.06,2.2880000000000003,2019-04-26,,CP.OS.00000040.01,1 Lithium Polymer batteries required. (included),
16,"3-Axis Gimbal Stabilizer for Smartphone - 0.5lbs Lightweight Foldable Phone Gimbal w/Auto Inception Dolly-Zoom Time-lapse, Handheld Gimbal for iPhone 11 pro max/11/Xs Max/Samsung - Hohem iSteady X",B087JPXWJF,594.0,Cell Phones & Accessories ,"Hohem Technology Co., LTD.",7.05 x 3.11 x 1.54,1.456,2020-02-01,,iSteadyX_BK,1 Lithium ion batteries required. (included),Black
