,ASIN,title,rating,review_count,price,product_type
0,B088N774B7,Simple Mobile Samsung Galaxy A01 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included - GSM,4.3,372,53.39,smartphone
1,B07Y5V9CSW,Simple Mobile Samsung Galaxy A20 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - Sim Card Included - GSM,4.4,30,144.66,smartphone
2,B08DHG8SBB,"Samsung Galaxy A21 Factory Unlocked Android Cell Phone, US Version Smartphone, 32GB Storage, Long-Lasting Battery, 6.5” Infinity Display, Quad Camera, Black",4.4,659,99.0,smartphone
3,B08HRJM99F,"OUKITEL WP8 Pro (2020) Rugged Smartphone, 6.49” Display, 4GB 64GB Dual SIM IP68 Waterproof Unlocked Cell Phones, 16MP Triple Camera Android 10, 5000mAh Battery Face/Fingerprint ID, GPS NFC, Orange",4.4,271,189.99,smartphone
4,B08FYTSXGQ,"Samsung Galaxy S20 FE 5G | Factory Unlocked Android Cell Phone | 128 GB | US Version Smartphone | Pro-Grade Camera, 30X Space Zoom, Night Mode | Cloud Navy",4.6,2265,599.99,smartphone
5,B08C6XBCRT,"BLU G90 Pro – 6.5” HD+ Gaming Smartphone, Quad Camera, 128GB+4GB RAM – Purple Haze",4.5,724,219.99,smartphone
6,B07Y5VKRLK,Simple Mobile Samsung Galaxy J2 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - Sim Card Included - GSM,4.2,30,59.0,smartphone
7,B08CMVGVQY,DJI OM 4 - Handheld 3-Axis Smartphone Gimbal Stabilizer with Grip Tripod Vlog YouTube Live Video for iPhone Android,4.6,2409,149.0,smartphone
8,B087LY84RT,"TCL 10L, Unlocked Android Smartphone with 6.53"" FHD + LCD Display, 48MP Quad Rear Camera System, 64GB+6GB RAM, 4000mAh Battery - Arctic White",4.4,1201,249.99,smartphone
9,B087MZ1GZB,Motorola Moto G8 Power XT2041-1 64GB Hybrid Dual SIM GSM Unlocked Android Smartphone - Capri Blue,4.3,240,199.0,smartphone
10,B0836TG4XB,"OUKITEL WP5 (2020) Rugged Smartphone, 8000mAh Battery IP68 Waterproof Android 10 Unlocked Cell Phones 4G LTE Dual SIM, 5.5inches 4GB 32GB Triple Camera Face/Fingerprint Unlock GPS Global Version",4.2,910,159.99,smartphone
11,B07Y5R4PWV,Net10 Samsung Galaxy A10e 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - SIM Card Included - CDMA,4.4,235,72.0,smartphone
12,B08GZB4GG6,"Unlocked Smartphones Blackview A80 Pro - Bundle Android 10 Pie 4GB+64GB ROM, 6.5"" HD+ Water Drop Screen,8MP Front Camera + 13MP Quad Rear Camera, 4680mAh Battery 4G Dual SIM AT&T Smartphones",4.3,36,150.0,smartphone
13,B0881TZRTZ,"Xiaomi Redmi Note 9 Pro 128GB + 6GB RAM, 6.67"" FHD+ DotDisplay, 64MP AI Quad Camera, Qualcomm Snapdragon 720G LTE Factory Unlocked Smartphone - International Version (Interstellar Grey)",4.5,2482,266.0,smartphone
14,B07XQHM1CV,"Samsung Galaxy A10s A107M - 32GB, 6.2"" HD+ Infinity-V Display, 13MP+2MP Dual Rear +8MP Front Cameras, GSM Unlocked Smartphone - Blue",4.3,6609,158.5,smartphone
15,B087V61QD7,"Nokia 1.3 Fully Unlocked Smartphone with 5.7"" HD+ Screen, AI-Powered 8 MP Camera and Android 10 Go Edition, Charcoal, 2020 (AT&T/T-Mobile/Cricket/Tracfone/Simple Mobile)",3.5,261,99.99,smartphone
16,B07Y5TTS2Q,TracFone Motorola Moto E6 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - Sim Card Included - CDMA,4.3,827,40.32,smartphone
17,B08CL51X7Y,Net10 Samsung Galaxy A01 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included -CDMA,4.4,194,55.0,smartphone
18,B08CL51X7Y,Net10 Samsung Galaxy A01 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included -CDMA,4.4,194,55.0,smartphone
19,B07Y5VKRLK,Simple Mobile Samsung Galaxy J2 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - Sim Card Included - GSM,4.2,30,59.0,smartphone
20,B08BC4NGMR,"Unlocked Smartphones Ulefone Note 9P, 16MP + 5MP + 2MP, Dual Sim Phones Unlocked, Andorid 10 4GB+64GB ROM, 6.52"" FHD, Fingerprint Face Detection, 4500mAh high Capacity Battery, AT&T, T-Mobile - Blue",4.1,923,159.99,smartphone
21,B08C268ZVZ,"ZTE Blade A3 2020 5.45"", 32 GB Quad-Core Android 9.0 Go 4G LTE GSM USA Latin Caribbean Unlocked Smartphone (GSM Version, Not CDMA) International Version (Red)",3.8,66,72.0,smartphone
22,B08723FJMF,"OnePlus 8 Pro Onyx Black,​ 5G Unlocked Android Smartphone U.S Version, 12GB RAM+256GB Storage, 120Hz Fluid Display,Quad Camera, Wireless Charge, with Alexa Built-in",4.5,1310,924.99,smartphone
23,B087V61QD7,"Nokia 1.3 Fully Unlocked Smartphone with 5.7"" HD+ Screen, AI-Powered 8 MP Camera and Android 10 Go Edition, Charcoal, 2020 (AT&T/T-Mobile/Cricket/Tracfone/Simple Mobile)",3.5,261,99.99,smartphone
24,B07RX8TP36,"LG V40 ThinQ 64GB GSM Unlocked (AT&T/T-Mobile) 5-Camera Smartphone w/ 6.4"" QHD+ Display - Aurora Black (Renewed)",4.3,714,224.94,smartphone
25,B08GZB4GG6,"Unlocked Smartphones Blackview A80 Pro - Bundle Android 10 Pie 4GB+64GB ROM, 6.5"" HD+ Water Drop Screen,8MP Front Camera + 13MP Quad Rear Camera, 4680mAh Battery 4G Dual SIM AT&T Smartphones",4.3,36,150.0,smartphone
26,B088N774B7,Simple Mobile Samsung Galaxy A01 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included - GSM,4.3,372,53.39,smartphone
27,B07Y5V9CSW,Simple Mobile Samsung Galaxy A20 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - Sim Card Included - GSM,4.4,30,144.66,smartphone
28,B087MZ1GZB,Motorola Moto G8 Power XT2041-1 64GB Hybrid Dual SIM GSM Unlocked Android Smartphone - Capri Blue,4.3,240,199.0,smartphone
29,B08KT4YPLB,"4G Unlocked, Unlocked Smartphone, 5.0"" Android 8.1 Cell Phones Unlocked 4g LTE, 1GB RAM+8GB ROM - (White)",3.4,47,69.99,smartphone
30,B086G9NF1P,"RCA Reno, 16GB, Android 10, 4G LTE Unlocked Smartphone (Black)",3.5,11,69.99,smartphone
31,B08HMTQQH4,"LG K51 Android Smartphone – 3/32 GB (Renewed) (Platinum, Global Unlocked)",4.8,12,149.99,smartphone
32,B0869S29LG,"RCA Reno 16GB, Android 10, 4G LTE Unlocked Smartphone (Gold)",3.6,6,69.99,smartphone
33,B08FT6SN4G,"CUBOT X30 Unlocked Smartphone, 8GB/256GB,6.4 Inch FHD Display, 48MP Five Al Rear Camera, Android 10 Unlocked Cell Phones 4200mAh Battery, 4G Dual SIM, Gradiet+Green",4.1,36,229.99,smartphone
34,B07Y5TTS2Q,TracFone Motorola Moto E6 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - Sim Card Included - CDMA,4.3,827,40.32,smartphone
35,B08FYVMRM5,"Samsung Galaxy S20 FE 5G | Factory Unlocked Android Cell Phone | 128 GB | US Version Smartphone | Pro-Grade Camera, 30X Space Zoom, Night Mode | Cloud Mint Green",4.6,2265,599.99,smartphone
36,B07Y5VKRLK,Simple Mobile Samsung Galaxy J2 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - Sim Card Included - GSM,4.2,30,59.0,smartphone
37,B07Y5R4PWV,Net10 Samsung Galaxy A10e 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - SIM Card Included - CDMA,4.4,235,72.0,smartphone
38,B07RSPPQ18,DJI Osmo Mobile 3 Combo - 3-Axis Smartphone Gimbal Handheld Stabilizer Vlog Youtuber Live Video for iPhone Android,4.6,9002,118.0,smartphone
39,B08CMVGVQY,DJI OM 4 - Handheld 3-Axis Smartphone Gimbal Stabilizer with Grip Tripod Vlog YouTube Live Video for iPhone Android,4.6,2409,149.0,smartphone
40,B07XYNN743,Fujifilm Instax Mini Link Smartphone Printer - Ash White,4.8,7686,99.95,smartphone
41,B07Y9CH817,"ibi - The Smart Photo Manager - Collect, Organize and Privately Share Photos & Videos from Smartphones, Cloud and Social Media Accounts - US Version",4.0,1000,79.99,smartphone
