,ASIN,title,rating,review_count,price,product_type
1,B0794MPRP7,"VicTsing Wireless Mouse, 2.4G 2400DPI Ergonomics Cordless Mouse with USB Receiver, Finger Rest, 5 Adjustable DPI Levels, Mobile USB Mice for Chromebook Notebook MacBook Laptop Computer, Sapphire Blue",4.6,111721,10.99,Mouse
2,B08GWQCWM9,"Jelly Comb USB Wired Mouse,RGB Optical Silent Computer Mouse,1600 DPI Office and Home Mice,for Windows PC, Laptop, Desktop, Notebook-MS059 (Black)",4.8,1273,9.99,Mouse
3,B07H8TJMX7,"seenda Wireless Mouse, 2.4G Noiseless Mouse with USB Receiver - Portable Computer Mice for PC, Tablet, Laptop with Windows System - Mint Green",4.6,41477,9.99,Mouse
6,B01FZ3BR5S,"PICTEK Gaming Mouse Wired [7200 DPI] [Programmable] [Breathing Light] Ergonomic Game USB Computer Mice RGB Gamer Desktop Laptop PC Gaming Mouse, 7 Buttons for Windows 7/8/10/XP Vista Linux, Black",4.5,17060,17.99,Mouse
14,B082HMX4K2,"LeadsaiL Wireless Computer Mouse, 2.4G Portable Slim Cordless Mouse Less Noise for Laptop Optical Mouse with 6 Buttons, AA Battery Included, USB Mouse for Laptop, Deskbtop, MacBook (Sky Blue)",4.4,4913,9.59,Mouse
17,B07YN82X3B,Logitech G203 LIGHTSYNC Wired Gaming Mouse - Black,4.7,9667,25.89,Mouse
20,B07KNQRQ3P,"Bluetooth Mouse Rechargeable Wireless Mouse for MacBook Pro,Bluetooth Wireless Mouse for Laptop PC Computer (Black)",4.4,7969,12.69,Mouse
21,B00O3TIZXS,Logitech Wireless Mouse M185 (Swift Grey),4.7,3202,17.89,Mouse
27,B088NGVY4C,"【Upgrade】 LED Wireless Mouse, Rechargeable Slim Silent Mouse 2.4G Portable Mobile Optical Office Mouse with USB & Type-c Receiver, 3 Adjustable DPI for Notebook, PC, Laptop, Computer (Rosegold)",4.5,5402,15.99,Mouse
28,B08H8MTGY2,"LED Bluetooth Wireless Mouse,Bluetooth Mouse for MacBook Pro,Bluetooth Mouse for MacBook Air,Rechargeable Wireless Mouse for MacBook, Laptop, Mac,ipad,ipad Pro (Silver)",4.4,863,13.59,Mouse
30,B08LB7YJMG,"Wireless Mouse, RATEL 2.4G Ergonomic Computer Mouse for Laptop with USB Receiver, Portable Cordless Mice with 3 Adjustable DPI Levels for Windows, PC, Chromebook, MacBook, Linux（Light Blue",4.4,421,10.99,Mouse
31,B085HGV3N8,"ITNRSIIET Mouse Pad, Ergonomic Mouse Pad with Gel Wrist Rest Support, Gaming Mouse Pad with Lycra Cloth, Non-Slip PU Base for Computer, Laptop, PC, Home, Office & Travel, Black",4.7,4924,7.98,Mouse
32,B07ZSYNSSG,"ITNRSIIET Marble Round Mouse Pad, Pink Marble Customized Premium-Textured Mouse Mat,Washable Mousepads with Lycra Cloth, Non-Slip Rubber Base Small Mousepad, 7.87×7.87×0.12 inches (Pink Marble)",4.7,4666,5.98,Mouse
33,B075WW7V6W,"VicTsing Mouse Pad with Stitched Edge, Premium-Textured Mouse Mat, Non-Slip Rubber Base Mousepad for Laptop, Computer & PC, 10.2×8.3×0.08 inches, Black",4.6,37617,7.99,Mouse
34,B07Y693ND1,Razer DeathAdder Essential Gaming Mouse: 6400 DPI Optical Sensor - 5 Programmable Buttons - Mechanical Switches - Rubber Side Grips - White,4.7,30907,49.99,Mouse
39,B08J3R8J9C,"PICTEK Large RGB Gaming Mouse Pad, Chameleon Programmble Oversized RGB Extended Soft Mousepad 16 Lighting Modes 3 Brightness Levels - 31.5 x 13.8 in",4.7,70,19.99,Mouse
41,B002DPUUL4,Microsoft Wireless Mobile Mouse 4000 - Graphite (D5D-00001),4.5,6767,19.99,Mouse
42,B07B7LBPNZ,"MROCO Computer Mouse Pad [30% Larger] with Non-Slip Rubber Base, Premium-Textured & Waterproof Mousepad with Stitched Edges, Mouse Pads for Computers, Laptop, Gaming, Office & Home, 8.5 x 11 in, Black",4.7,6961,4.59,Mouse
43,B07MBMPG4L,"Type C Wireless Mouse, Jelly Comb 2.4G Wireless Mouse USB C Computer Cordless Mice with USB and Type C Receiver Compatible with Notebook, Computer, PC, Laptop, Computer, MacBook and all Type-C Device",4.5,4129,13.99,Mouse
44,B000UEZ36W,SteelSeries QcK Gaming Surface - Medium Cloth - Best Selling Mouse Pad of All Time - Optimized For Gaming Sensors,4.7,23856,9.99,Mouse
45,B07WZYKYZC,"ITNRSIIET Ergonomic Mouse Pad with Gel Wrist Rest Support, Stay Positive Work Hard and Make It Happen Arrow Print Inspirational Quote Mouse Pad, Non-Slip PU Base for Computer, Laptop, Home, Office",4.7,4268,7.48,Mouse
48,B08GHC7MVN,"LED Wireless Mouse, seenda Ultra Silent Rechargeable Light Up Mouse with USB Receiver, Comfortable Cordless Mice and 3 Adjustable DPI for Kids Laptop Computer Chromebook, Blue",4.7,319,11.99,Mouse
49,B07ZHFCM43,"Bluetooth Mouse, Inphic Rechargeable Wireless Mouse Multi-Device (Tri-Mode:BT 5.0/3.0+2.4Ghz) with Silent , 3 DPI Adjustment, Ergonomic Optical Portable Mouse for Laptop Android Windows Mac OS, Grey",4.3,1707,16.59,Mouse
50,B08KW1QG6D,"Psitek Mouse Pad 10x8.5 Inches Economic Mousepad Waterproof Cloth Surface Optimized for Precision, Durable Stitched Anti-Fray Edges Black Red and Green 3 Packs Mousepad",4.8,126,8.99,Mouse
51,B0871PF329,Macally Wired USB C Mouse for Mac & Windows - 3 Button & Scroll Wheel USB Type C Mouse - Comfortable Ambidextrous Design - Compact Wired Mouse with Optical Sensor & DPI Switch 800/1200/1600/2400,4.3,174,15.99,Mouse
52,B0889GVZY2,"Iron Man Mouse, 2.4G Noiseless Wireless Mouse with USB Receiver Portable Computer Mice for PC, Tablet, Laptop, Notebook - Black",4.6,152,14.99,Mouse
53,B07TT3VN4X,"VicTsing Wireless Keyboard and Mouse Combo [Energy Saving], 3 Level DPI Adjustable Wireless Mouse and 2.4GHz Computer Keyboard, Independent On/Off Switch, Num/Caps/Power Indicator, Black",4.5,5064,26.99,Mouse
54,B07DVCGX7G,"MROCO Ergonomic Mouse Pad with Wrist Support Gel Mouse Pad with Wrist Rest, Comfortable Computer Mouse Pad for Laptop, Pain Relief Mousepad with Non-slip PU Base for Office & Home, 9.4 x 8.1 in, Black",4.7,5040,8.99,Mouse
59,B07S395RWD,Logitech MX Master 3 Advanced Wireless Mouse - Graphite,4.7,6449,98.49,Mouse
60,B07Y65DF83,"Wireless Mouse ,Jelly Comb Type C 2.4G Wireless Computer Silent Mouse with 3 DPI for Laptop/iPad pro/MacBook/PC/Windows/Android -Black and Sliver",4.6,6040,7.19,Mouse
61,B0148NPIQK,"Logitech M535 Bluetooth Mouse Compact Wireless Mouse with 10 Month Battery Life Works with Any Bluetooth Enabled Computer, Laptop or Tablet Running Windows, Mac OS, Chrome or Android, Gray - Black",4.6,7089,28.61,Mouse
62,B07YPC3BQC,Razer Viper Ultimate Hyperspeed Lightest Wireless Gaming Mouse & RGB Charging Dock: Fastest Gaming Mouse Switch - 20K DPI Optical Sensor - Chroma Lighting - 8 Programmable Buttons - 70 Hr Battery,4.7,11724,129.99,Mouse
63,B08M19C7ML,"LED Wireless Mouse, Jelly Comb 2.4G Noiseless Mouse with USB Receiver, Rechargeable Portable Mice for Computer, Laptop, PC, Tablet, Chromebook",4.9,128,10.99,Mouse
65,B08GWR1WWN,"TOWWI PU Leather Desk Pad with Suede Base, Multi-Color Non-Slip Mouse Pad, 36” x 17” Waterproof Desk Writing Mat, Large Desk Blotter Protector(Black)",4.8,1260,17.99,Mouse
68,B078CQ311V,"MROCO Mouse Pad Pack [30% Larger] with Non-Slip Rubber Base, Premium-Textured & Waterproof Mousepads Bulk with Stitched Edges, Mouse Pads for Computers, Laptop, Office & Home, 8.5x11 in, 3 Pack, Black",4.7,3316,7.99,Mouse
69,B079HM4568,"VicTsing Computer Wireless Mouse, 2.4G Portable USB Mouse Ergonomic Mouse- Fit Your Hand Nicely, 5 Adjustable DPI Levels, Page Down/Up Buttons, 20 Months Battery Life, Designed for PC, Desktop, Laptop",4.6,19062,10.99,Mouse
70,B07LH6L2W6,"BOSOBO Mouse Pad, Round Mandala Mouse Mat, Cute Mouse Pad with Design, Non-Slip Rubber Base Mousepad with Stitched Edge, Waterproof Office Mouse Pad, Small Size 7.9 x 7.9 x 0.1 Inch, Mandala Colour",4.8,8422,5.99,Mouse
71,B07XKMZC7K,Wireless Mouse for Laptop Mac Desktop Computer Wireless Mouse for MacBook pro MacBook Air Laptop Windows iMac (Blue),4.1,8143,13.96,Mouse
81,B07WV6TR8X,"Logitech Pebble M350 Wireless Mouse with Bluetooth or USB - Silent, Slim Computer Mouse with Quiet Click for iPad, Laptop, Notebook, PC and Mac - Off White",4.8,5447,27.62,Mouse
82,B07DHDFW5V,"Logitech MX Master Wireless Mouse – High-precision Sensor, Speed-Adaptive Scroll Wheel, Easy-Switch up to 3 Devices - Meteorite Black",4.7,3984,74.99,Mouse
83,B07L4BGL3D,"Blade Hawks RGB Gaming Mouse Pad, LED Soft Extra Extended Large Mouse Pad, Anti-Slip Rubber Base, Computer Keyboard Mouse Mat - 31.5 X 12 Inch",4.8,8023,16.6,Mouse
84,B083SBW2XD,"VicTsing Big Mouse Pad with Double Stitched Edge, 【Upgraded Version】14.6×11.8 inches Superfine Textured Mouse Mat, Nonslip Natural Rubber Base Mouse pad for Gaming Computer & Laptop & PC, Black",4.7,1854,10.99,Mouse
85,B00006HTZ0,Belkin Standard 8-Inch by 9-Inch Computer Mouse Pad with Neoprene Backing and Jersey Surface (Black) (F8E089-BLK),4.6,7037,4.99,Mouse
88,B081HYV121,"Ergonomic Wireless Mouse, Iron Man Mouse 2.4G Portable Mobile Computer Mouse with USB Nano Receiver for Notebook, PC, Laptop, Computer, MacBook, Responds up to 33 ft. (10m)",4.6,1033,16.99,Mouse
91,B0788MCRGC,"Razer Naga Trinity Gaming Mouse: 16,000 DPI Optical Sensor - Chroma RGB Lighting - Interchangeable Side Plate w/ 2, 7, 12 Button Configurations - Mechanical Switches",4.5,8572,89.97,Mouse
92,B082NS6LW8,"iPad Mouse, OMOTON Bluetooth Mouse for iPad Air 4, iPad 8th/ 7th Gen, iPad Pro 12.9/ 11 (iPad OS 13 or Above), MacBook Air/Pro, Bluetooth Enabled Laptop, Computer, PC, Notebook (Silver)",4.5,1551,12.99,Mouse
93,B087CPL37B,"JITOPKEY M120 USB Optical Wired Computer Mouse with Easy Click for Office and Home, 1000DPI, Premium and Portable,Compatible with Windows PC, Laptop, Desktop, Notebook (Grey)",4.8,439,10.99,Mouse
94,B07S9QRF3J,"Rechargeable Bluetooth Mouse, Jelly Comb Dual Mode 2.4GHz Wireless and Bluetooth Mouse Compatible for MacBook, Laptop, Windows",4.5,795,14.99,Mouse
99,B00JUHDYSO,"Logitech M557 Bluetooth Mouse – Wireless Mouse with 1 Year Battery Life, Side-to-Side Scrolling, and Right or Left Hand Use with Apple Mac or Microsoft Windows Computers and Laptops, Gray",4.5,2747,34.88,Mouse
100,B086W89NPL,"Bluetooth Wireless Mouse, Slim Dual Mode(Bluetooth 5.0 and 2.4G Wireless) Rechargeable Wireless Mouse with 3 Adjustable DPI for MacBook, Laptop, MacOS 10.10, Android 5.0, Windows 8 or Above",4.3,6456,14.99,Mouse
101,B003D8ZT0C,Logitech Wired Mouse M90 Black USB,4.7,7390,11.99,Mouse
102,B087P6HQDT,"Large Extended Gaming Mouse Pad with Stitched Edges, (31.5X15.7In) Durable Non-Slip Natural Rubber Base, Waterproof Computer Keyboard Pad Mat for Esports Pros/Gamer/Desktop/Office/Home-Black",4.8,304,13.99,Mouse
103,B08JYHFP3N,"Dooke Ergonomic Mouse Pad with Wrist Support, Cute Mouse Pads with Non-Slip Rubber Base for Home Office Working Studying Easy Typing & Pain Relief Orange",4.8,5549,12.98,Mouse
104,B0753P1GTS,"Logitech MX Ergo Wireless Trackball Mouse Adjustable Ergonomic Design, Control and Move Text/Images/Files Between 2 Windows and Apple Mac Computers (Bluetooth or USB), Rechargeable, Graphite - Black",4.6,5057,89.0,Mouse
107,B07XB52RLR,"Bluetooth Ergonomic Mouse, Jelly Comb Advanced Vertical Wireless Bluetooth Mouse 2.4GHz Optical Vertical Mice, Easy Switch Between 2 Devices with Bluetooth and USB Connection MV045-Black",4.5,3076,21.99,Mouse
108,B08F9ZXXSG,"VicTsing Gaming Mouse Pad, RGB Mouse Pad with 13 Lighting Modes 2 Brightness Level, Computer Mouse Pad Game Mouse Mat, Mousepad XL for Game, 800x300mm",4.7,3145,21.99,Mouse
