,ASIN,Title,Brand,Best-Sellers_Rank,Best_Sellers_Rank_fields,Product_Dimensions_Inches,Item_Weight_Pounds,Date_First_Available,Is_Discontinued_By_Manufacturer,Item_Model_Number,Average_Battery_Life_In_Hours),Batteries,Card_Description,Chipset_Brand,Voltage,Series,National_Stock_Number,Wireless_Type,Max_Screen_Resolution_Pixels,Standing_Screen_Display_Size_Inches,Operating_System,Color,Graphics_Coprocessor,Number_of_USB_2.0_Ports,Number_of_USB_3.0_Ports,Computer_Memory_Type,Processor_Brand,Processor_Count,Memory_Speed_In_GHz,Hard_Drive_Interface,Hardware_Platform,Flash_Memory_Size_In_GB
0,B085XRL3P1,"CHUWI Herobook Pro 14.1 inch Windows 10 Intel N4000 Dual Core 8GB RAM 256GB ROM Notebook,Thin and Lightweight Laptop,BT4.0 (Herobook Pro (Herobook Pro(2020))",CHUWI,1853, Computers & Accessories ,13.07 x 8.43 x 0.84 ,3.06,2020-03-11,,Herobook Pro,5 	years,,Integrated,Intel,,HeroBook Pro,,Bluetooth,1920 x 1080 Lines Per Inch,14.1 ,Windows 10,Herobook Pro(2020),Intel Celeron Processor N4000,,,DDR4 SDRAM,Intel,4,,ATA-4,PC,256 GB
1,B08CDM3XPJ,"CHUWI CoreBook Pro Windows 10 Laptop Computer, 13 inch 2K IPS Display, 8G RAM / 256GB NVMe SSD with Intel Core i3 Processor Notebook, Support PD Charge",CHUWI,14505, Computers & Accessories ,1.14 x 0.87 x 0.71 ,4.38,2020-06-30,,CoreBook Pro,,,,Intel,,,,,2160 x 1440 ,13 ,,,,,,DDR4 SDRAM,Intel,2,,Solid State,PC,
2,B08NXSJVCR,Lenovo IdeaPad 3 Intel i5-1035G1 Quad Core 12GB RAM 256GB SSD 15.6-inch Touch Screen Laptop,Lenovo,212, Computers & Accessories ,14.26 x 9.98 x 0.78 ,1.12,2020-11-20,,81WE00NKUS,,1 Lithium Polymer batteries required. (included),Dedicated,Intel,,Lenovo Ideapad,,802.11a,1366 x 768 ,15.6 ,Windows 10,Platinum Grey,Intel UHD Graphics,1,,DDR4 SDRAM,Intel,2,3.9,Solid State,PC,256 GB
3,B07GLV1VC7,"Lenovo Chromebook S330 Laptop, 14-Inch FHD (1920 x 1080) Display, MediaTek MT8173C Processor, 4GB LPDDR3, 64GB eMMC, Chrome OS, 81JW0000US, Business Black",Lenovo,372, Computers & Accessories ,12.82 x 0.82 x 9.15 ,3.3,2018-08-09,,81JW0000US,10 Hours,1 Lithium Polymer batteries required. (included),Integrated,Intel,,Ideapad S330,,802.11ac,1920X1080 ,14 ,Chrome OS,Business Black,,,1,Unknown,Mediatek,4,,Solid State,Chrome,64
4,B08842D7JS,"Acer Predator Helios 300 Gaming Laptop, Intel i7-10750H, NVIDIA GeForce RTX 2060 6GB, 15.6"" Full HD 144Hz 3ms IPS Display, 16GB Dual-Channel DDR4, 512GB NVMe SSD, Wi-Fi 6, RGB Keyboard, PH315-53-72XD",Acer,146, Computers & Accessories ,14.31 x 10.04 x 0.9 ,5.07,2020-06-16,,PH315-53-72XD,6 Hours,1 Lithium ion batteries required. (included),RTX 2060,NVIDIA,220 volts,PH315-53-72XD,,802.11ax,1920 x 1080 ,15.6 ,Windows 10 Home,,NVIDIA GeForce RTX 2060,,3,DDR4 SDRAM,Intel,6,2.9330000000000003,Gigabit Ethernet,,512
5,B084SKWC89,"HP Stream 14-inch Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Windows 10 Home in S Mode with Office 365 Personal for 1 Year (14-cb185nr, Royal Blue)",HP,669, Computers & Accessories ,13.27 x 8.9 x 0.7 ,3.17,2020-03-01,,9MV84UA#ABA,10 Hours,1 Lithium Metal batteries required. (included),Integrated,Intel,,Stream Laptop,,"802.11a/b/g/n/ac, Bluetooth",1366 x 768 ,14 ,Windows 10 Home,Royal Blue,,1,2,DDR4 SDRAM,Intel,2,2.6,,,4
6,B08PF2HZVL,"Laptop 14 Inch, Winnovo V146, Windows 10, 4GB RAM, 32GB ROM, Intel Atom Quad Core Processor, 19201080 FHD IPS Display, HDMI, Silver",Winnovo,2111, Computers & Accessories ,14.37 x 9.72 x 2.4 ,4.34,2020-12-17,,V146,6 Hours,1 Lithium Polymer batteries required. (included),,Intel,,,,"802.11bgn, 802.11a",1920x1080 ,14 ,Windows 10,Silver(4+32),Atom Z8350,,,DDR3 SDRAM,Intel,4,,USB 2.0,PC,
7,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
8,B08H6YZY3Y,"HP Chromebook 11-inch Laptop - Up to 15 Hour Battery Life - MediaTek - MT8183 - 4 GB RAM - 32 GB eMMC Storage - 11.6-inch HD Display - with Chrome OS - (11a-na0021nr, 2020 Model, Snow White)",HP,2997, Computers & Accessories ,7.59 x 11.22 x 0.66 ,2.36,2020-10-04,,11a-na0021nr,15.45 Hours,1 Lithium Polymer batteries required. (included),Integrated,MediaTek,,HP 11 Chromebook,,"Bluetooth, 802.11a/b/g/n/ac",1366 x 768 ,11.6 ,Chrome OS,Snow White,,2,,SDRAM,MediaTek,8,,USB,Google,32
9,B086KJCJDM,"Acer Spin 5 Convertible Laptop, 13.5"" 2K 2256 x 1504 IPS Touch, 10th Gen Intel Core i7-1065G7, 16GB LPDDR4X, 512GB NVMe SSD, Wi-Fi 6, Backlit KB, FPR, Rechargeable Active Stylus, SP513-54N-74V2",Acer,270, Computers & Accessories ,11.81 x 9.25 x 0.59 ,2.6,2020-04-27,,SP513-54N-74V2,15 Hours,1 Lithium ion batteries required. (included),Integrated,Intel,100240 volts,SP513-54N-74V2,,Bluetooth,1280 x 720,13.5 ,Windows 10 Home,,,,2,,Intel,4,3.9,USB-C,Windows,512
